1,1001,101,2024-03-01
2,1002,102,2024-03-02
3,1003,103,2024-03-03
4,1001,104,2024-03-04
5,1002,105,2024-03-05
6,1003,106,2024-03-06
7,1001,107,2024-03-07
8,1002,108,2024-03-08
9,1003,109,2024-03-09
10,1001,110,2024-03-10
11,1001,111,2024-03-11
12,1002,111,2024-03-11
13,1001,112,2024-03-12
14,1003,112,2024-03-12
15,1002,113,2024-03-13
16,1003,113,2024-03-13
17,1001,114,2024-03-14
18,1002,114,2024-03-14
19,1003,115,2024-03-15
20,1001,115,2024-03-15
21,1002,116,2024-03-16
22,1003,116,2024-03-16
23,1001,117,2024-03-17
24,1002,117,2024-03-17
25,1001,118,2024-03-18
26,1003,118,2024-03-18
27,1002,119,2024-03-19
28,1003,119,2024-03-19
29,1001,120,2024-03-20
30,1002,120,2024-03-20
31,1003,121,2024-03-21
32,1001,121,2024-03-21
33,1002,122,2024-03-22
34,1003,122,2024-03-22
35,1001,123,2024-03-23
36,1002,123,2024-03-23
37,1003,124,2024-03-24
38,1001,124,2024-03-24
39,1002,125,2024-03-25
40,1003,125,2024-03-25
41,1001,126,2024-03-26
42,1003,126,2024-03-26
43,1002,127,2024-03-27
44,1001,127,2024-03-27
45,1002,128,2024-03-28
46,1003,128,2024-03-28
47,1001,129,2024-03-29
48,1003,129,2024-03-29
49,1002,130,2024-03-30
50,1001,130,2024-03-30
51,1003,131,2024-03-31
52,1001,131,2024-03-31
53,1002,132,2024-04-01
54,1003,132,2024-04-01
55,1001,133,2024-04-02
56,1002,133,2024-04-02
57,1003,134,2024-04-03
58,1002,134,2024-04-03
59,1001,135,2024-04-04
60,1003,135,2024-04-04
61,1001,136,2024-04-05
62,1002,136,2024-04-05
63,1003,137,2024-04-06
64,1001,137,2024-04-06
65,1002,138,2024-04-07
66,1003,138,2024-04-07
67,1001,139,2024-04-08
68,1002,139,2024-04-08
69,1003,140,2024-04-09
70,1001,140,2024-04-09
71,1001,141,2024-04-10
72,1002,141,2024-04-10
73,1003,141,2024-04-10
74,1001,142,2024-04-11
75,1002,142,2024-04-11
76,1003,142,2024-04-11
77,1001,143,2024-04-12
78,1002,143,2024-04-12
79,1003,143,2024-04-12
80,1001,144,2024-04-13
81,1003,144,2024-04-13
82,1002,144,2024-04-13
83,1001,145,2024-04-14
84,1002,145,2024-04-14
85,1003,145,2024-04-14
86,1001,146,2024-04-15
87,1003,146,2024-04-15
88,1002,146,2024-04-15
89,1001,147,2024-04-16
90,1002,147,2024-04-16
91,1003,147,2024-04-16
92,1001,148,2024-04-17
93,1003,148,2024-04-17
94,1002,148,2024-04-17
95,1001,149,2024-04-18
96,1002,149,2024-04-18
97,1003,149,2024-04-18
98,1001,150,2024-04-19
99,1002,150,2024-04-19
100,1003,150,2024-04-19
4195,1002,856,random
